"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz","sigma_true_sq","sigma_fit_sq","absorbed_var","gamma_var_term","cross_term","predicted_absorbed","residual_var","residual_pct"
0.8,0.3,1.57561872006012,0.606685670024542,0.0971821684743045,25.1694423957426,0.260048885999751,0.128506184750496,1.58454883703761,2.4825743510039,0.898025513966293,0.09,0.604218546598386,0.694218546598386,0.203806967367908,12.8621448960156
0,0.35,1.33574383057581,0.534577275685057,0.0250737741348196,6.1134323476095,0.211582102460624,0.105251570267021,1.58454883703761,1.78421158092133,0.199662743883719,0.1225,0,0.1225,0.0771627438837193,4.8696980541148
0.1,0.35,1.38578821393524,0.536553059354337,0.0270495578040992,10.0890309365247,0.228104766507538,0.109097345720536,1.58454883703761,1.92040897388183,0.33586013684422,0.1225,0.0881152047122646,0.210615204712265,0.125244932131955,7.90413833922005
0.2,0.35,1.45462532056436,0.569822371200197,0.0603188696499589,15.5575507904738,0.234189456058507,0.114892742993844,1.58454883703761,2.11593482322696,0.531385986189353,0.1225,0.176230409424529,0.298730409424529,0.232655576764824,14.6827646662999
0.3,0.35,1.44599968415599,0.568001428300248,0.05849792675001,14.872317690741,0.234412557924259,0.114662770942094,1.58454883703761,2.09091508657922,0.506366249541613,0.1225,0.264345614136794,0.386845614136794,0.11952063540482,7.54288114137706
0.4,0.35,1.50223645582503,0.599491567962484,0.0899880664122461,19.339848611979,0.238601523102064,0.122380082863211,1.58454883703761,2.25671436920974,0.672165532172128,0.1225,0.352460818849058,0.474960818849058,0.19720471332307,12.4454802978337
0.5,0.35,1.53275189887827,0.581988936520442,0.0724854349702047,21.7640397838686,0.257739685506245,0.125873771268527,1.58454883703761,2.34932838351495,0.76477954647734,0.1225,0.440576023561323,0.563076023561323,0.201703522916017,12.7293976809898
0.6,0.35,1.56413373380223,0.605439467964213,0.0959359664139754,24.25705838588,0.262893670615455,0.121846828902158,1.58454883703761,2.44651433721811,0.861965500180501,0.1225,0.528691228273587,0.651191228273587,0.210774271906914,13.3018476288157
0.7,0.35,1.59672534472086,0.608196446543532,0.0986929449932941,26.8461833521711,0.259946632278758,0.134024531898646,1.58454883703761,2.54953182647394,0.964982989436331,0.1225,0.616806432985852,0.739306432985852,0.225676556450479,14.2423225574033
0.8,0.35,1.64133344230286,0.628915994447148,0.11941249289691,30.3899154934478,0.273783791557541,0.141542085639818,1.58454883703761,2.69397546882176,1.10942663178415,0.1225,0.704921637698117,0.827421637698117,0.282004994086033,17.797179076743
0,0.4,1.37534018389104,0.526773285297635,0.0172697837473974,9.25902423622576,0.225973711749225,0.104973938267156,1.58454883703761,1.89156062142545,0.30701178438784,0.16,0,0.16,0.14701178438784,9.2778323363441
0.1,0.4,1.40861533550797,0.554198544788067,0.0446950432378287,11.9024506695988,0.231742546939187,0.104622720152568,1.58454883703761,1.98419716342823,0.39964832639062,0.16,0.100703091099731,0.260703091099731,0.138945235290889,8.76875688796398
0.2,0.4,1.44911050624692,0.561113303178,0.0516098016277619,15.1194459214205,0.230741709512031,0.118613232091747,1.58454883703761,2.09992125931521,0.515372422277595,0.16,0.201406182199462,0.361406182199462,0.153966240078133,9.7167241854142
0.3,0.4,1.47546049079333,0.579234108121167,0.0697306065709293,17.2127270120928,0.242061916540254,0.125492760208182,1.58454883703761,2.17698365989211,0.592434822854496,0.16,0.302109273299193,0.462109273299193,0.130325549555303,8.22477329250089
0.4,0.4,1.50299688609145,0.584961004917045,0.0754575033668069,19.4002582981662,0.252529148991882,0.12238907259477,1.58454883703761,2.25899963960061,0.674450802562998,0.16,0.402812364398924,0.562812364398924,0.111638438164074,7.04544003659664
0.5,0.4,1.56349460909848,0.606452093456013,0.0969485919057752,24.2062853899945,0.266008351228548,0.127418775694304,1.58454883703761,2.44451539267999,0.859966555642382,0.16,0.503515455498655,0.663515455498655,0.196451100143727,12.3979201872378
0.6,0.4,1.55966655917777,0.594923204188791,0.085419702638553,23.9021795375208,0.265848375391492,0.119457242390905,1.58454883703761,2.43255977581743,0.848010938779818,0.16,0.604218546598386,0.764218546598386,0.0837923921814323,5.28809148843188
0.7,0.4,1.67871400200839,0.63289401812858,0.123390516578342,33.3594815154882,0.280840479364607,0.148263984918901,1.58454883703761,2.81808070053901,1.2335318635014,0.16,0.704921637698117,0.864921637698117,0.368610225803286,23.2627873112715
0.8,0.4,1.73053084200351,0.648365118424595,0.138861616874357,37.4758866370597,0.290269896414997,0.14529922597959,1.58454883703761,2.99473699512539,1.41018815808778,0.16,0.805624728797848,0.965624728797848,0.44456342928993,28.0561519404515
0,0.45,1.3807673977538,0.545388412896679,0.0358849113464411,9.69016999777019,0.227848106530048,0.113118514659258,1.58454883703761,1.90651860669981,0.321969769662198,0.2025,0,0.2025,0.119469769662198,7.53967103251628
0.1,0.45,1.3866022484023,0.539164761495385,0.0296612599451471,10.1536990183615,0.231171173220035,0.10097469190466,1.58454883703761,1.92266579527431,0.338116958236703,0.2025,0.113290977487197,0.315790977487197,0.022325980749506,1.40898028685853
0.2,0.45,1.49105898158903,0.578126772889442,0.0686232713392042,18.4518938043212,0.245814846856197,0.130590555262978,1.58454883703761,2.2232568865773,0.638708049539693,0.2025,0.226581954974395,0.429081954974395,0.209626094565298,13.2293867923442
0.3,0.45,1.56789456953314,0.599196854819649,0.0896933532694115,24.5558246453732,0.259483117140155,0.128159445400534,1.58454883703761,2.45829338117152,0.873744544133904,0.2025,0.339872932461592,0.542372932461592,0.331371611672312,20.9126789863938
0.4,0.45,1.66011286181955,0.632655000895897,0.123151499345659,31.8817798889975,0.265379748234144,0.131508874490473,1.58454883703761,2.75597471397869,1.17142587694108,0.2025,0.453163909948789,0.655663909948789,0.515761966992286,32.5494522438657
0.5,0.45,1.6123659513973,0.63263070284014,0.123127201289903,28.0886958912115,0.272245662898318,0.149287799638853,1.58454883703761,2.59972396122532,1.01517512418771,0.2025,0.566454887435987,0.768954887435987,0.246220236751724,15.5388228495402
0.6,0.45,1.664308263527,0.641043309774543,0.131539808224305,32.2150687016155,0.274078427648008,0.13762274862607,1.58454883703761,2.76992199604424,1.18537315900663,0.2025,0.679745864923184,0.882245864923184,0.303127294083449,19.1301957376183
