"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz"
0.25,0.5,1.5309960219243,0.600592857971087,0.091089356420849,21.624550365238,0.261472336666125,0.128354950809609
0.3,0.5,1.56480466088061,0.592253415208565,0.0827499136583275,24.3103578086527,0.268985752044125,0.124035109216452
0.35,0.5,1.60413063551412,0.591014417940785,0.0815109163905475,27.4344704216057,0.262564330876618,0.126759204350994
0.4,0.5,1.61611511693735,0.612960096523191,0.103456594972953,28.3865350537719,0.269305435432602,0.142722872004683
0.45,0.5,1.70505423285767,0.640081782963817,0.130578281413579,35.4519877582764,0.285687942459532,0.139788450715225
0.5,0.5,1.6630679490689,0.625618566710156,0.116115065159918,32.1165363173919,0.277931835747461,0.127806394292278
0.2,0.55,1.5305391571693,0.601493692321411,0.0919901907711735,21.5882563647256,0.249724681328656,0.130538691346733
0.25,0.55,1.60828900471056,0.613428607371681,0.103925105821443,27.7648173176969,0.266978787219016,0.134114236136085
0.3,0.55,1.5467088624233,0.58252721555618,0.073023714005942,22.8728012641852,0.255998884090798,0.133082465195239
0.35,0.55,1.63852164360972,0.605988787120474,0.0964852855702365,30.1665421163298,0.272799802748734,0.131440266231726
0.4,0.55,1.67051892647563,0.627472380555892,0.117968879005654,32.708452797838,0.282230003149684,0.134416002859917
0.45,0.55,1.70911031925042,0.64412878431744,0.134625282767202,35.7742091597014,0.287166034874299,0.141751842235411
0.5,0.55,1.72258211783271,0.638574856190391,0.129071354640154,36.844428429849,0.283608293534713,0.147400442029448
0.2,0.6,1.57745815207159,0.603379231527357,0.0938757299771192,25.3155695496465,0.265755268197814,0.136373442664719
0.25,0.6,1.60959830953005,0.622946633868326,0.113443132318088,27.8688303965559,0.272592086885529,0.130303728967305
0.3,0.6,1.63706359390032,0.633495867725445,0.123992366175207,30.0507125271105,0.27791780348108,0.13611629685566
0.35,0.6,1.7808711873294,0.662846658548142,0.153343156997904,41.4749968749793,0.289529224582747,0.137514233929492
0.4,0.6,1.72866734281623,0.63572025597158,0.126216754421342,37.3278475517101,0.289114994179814,0.138069547116194
0.45,0.6,1.79936483124309,0.652892126034234,0.143388624483996,42.9441588410503,0.308451632089297,0.143306911136687
0.5,0.6,1.68377728778727,0.629550240023103,0.120046738472865,33.7617163008228,0.291654357644999,0.153479199392421
0.2,0.65,1.62029825641791,0.634113525832702,0.124610024282465,28.7188497372544,0.276100781306845,0.134417398525915
0.25,0.65,1.64132931700298,0.61203556800856,0.102532066458322,30.389587773626,0.275544411249155,0.142941045477644
0.3,0.65,1.7288290440281,0.635137894088622,0.125634392538384,37.3406933311283,0.289291122729048,0.150571781206861
0.35,0.65,1.77274311089452,0.666314204326328,0.15681070277609,40.8292906630952,0.294836781542452,0.139370030962854
0.4,0.65,1.78515950102372,0.65409006114722,0.144586559596982,41.8156667509477,0.296597590430019,0.143338782920837
0.45,0.65,1.76198446159124,0.650272636168172,0.140769134617934,39.9746079171505,0.292138941006819,0.155709500012658
0.5,0.65,1.84142823222689,0.698590214029047,0.18908671247881,46.2857365840532,0.30535638094965,0.149819645423349
