"age","cor_pearson","cor_spearman","n_pairs","model","zygosity"
24,0.134066421954212,0.142350261009367,40686,"recovery","DZ"
26,0.13817445845165,0.144680929452317,39878,"recovery","DZ"
28,0.142779977163032,0.147405979684225,39147,"recovery","DZ"
30,0.144184104371108,0.147780829070299,38352,"recovery","DZ"
32,0.149769355692018,0.151580748371182,37564,"recovery","DZ"
34,0.154370407651541,0.154472117865513,36781,"recovery","DZ"
36,0.156228128493411,0.155430452829178,35957,"recovery","DZ"
38,0.158399107724897,0.156086404438215,35086,"recovery","DZ"
40,0.162457233023858,0.158598177591962,34216,"recovery","DZ"
42,0.163165269853956,0.157919168594498,33315,"recovery","DZ"
44,0.162201142654114,0.156242152014294,32337,"recovery","DZ"
46,0.167489056801446,0.160025035779492,31328,"recovery","DZ"
48,0.170142414338127,0.161317217677243,30294,"recovery","DZ"
50,0.171570625519573,0.161962200185168,29274,"recovery","DZ"
52,0.171187208413133,0.160502444753226,28127,"recovery","DZ"
54,0.169038197005532,0.157334095599069,26964,"recovery","DZ"
56,0.172569802952419,0.159697970775883,25792,"recovery","DZ"
58,0.171740078677585,0.157857187268772,24470,"recovery","DZ"
60,0.175416924568578,0.161265983372886,23169,"recovery","DZ"
62,0.169862233172081,0.154969480731654,21857,"recovery","DZ"
64,0.166806861962998,0.151182341550439,20476,"recovery","DZ"
66,0.165523248303945,0.149233902637177,19083,"recovery","DZ"
68,0.169823959484928,0.154624414315625,17621,"recovery","DZ"
70,0.161003368108699,0.14413727077587,16160,"recovery","DZ"
72,0.152526426191334,0.134122826476308,14693,"recovery","DZ"
74,0.151283962109555,0.132686535599287,13249,"recovery","DZ"
76,0.146378125353916,0.127855703633184,11968,"recovery","DZ"
78,0.144335499237761,0.126076497359747,10636,"recovery","DZ"
80,0.133925095467665,0.114003527859484,9402,"recovery","DZ"
82,0.144814399452025,0.127889322877067,8144,"recovery","DZ"
84,0.145230546893424,0.130215091884768,6952,"recovery","DZ"
86,0.133180477109387,0.11765517716941,5964,"recovery","DZ"
88,0.134916858413927,0.121702980035552,5026,"recovery","DZ"
90,0.140492872581002,0.129514823949026,4181,"recovery","DZ"
