"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz"
0.7,0.45,1.73128571111785,0.649068141303102,0.139564639752864,37.5358545372376,0.286752220045321,0.133342095473208
0.8,0.45,1.76128317650444,0.645853748402872,0.136350246852634,39.9188968100424,0.304163271082483,0.143352544430049
0,0.5,1.43998926044655,0.580946721706942,0.0714432201567043,14.3948408908689,0.237367213909297,0.121900538308019
0.1,0.5,1.46160410725237,0.576844245980178,0.0673407444299405,16.1119557535631,0.234325618868672,0.117297235738966
0.2,0.5,1.53482938720305,0.59575044803967,0.0862469464894317,21.9290784774848,0.250428678838723,0.114295921976966
0.3,0.5,1.56480466088061,0.592253415208565,0.0827499136583275,24.3103578086527,0.268985752044125,0.124035109216452
0.4,0.5,1.61611511693735,0.612960096523191,0.103456594972953,28.3865350537719,0.269305435432602,0.142722872004683
0.5,0.5,1.6630679490689,0.625618566710156,0.116115065159918,32.1165363173919,0.277931835747461,0.127806394292278
0.6,0.5,1.74795101401852,0.643525544476291,0.134022042926054,38.8597704344503,0.286879187945225,0.147782598650663
0.7,0.5,1.74635411596181,0.660967034951612,0.151463533401374,38.7329105306062,0.291005932857256,0.152122086786038
0.8,0.5,1.76065713060441,0.639489639116194,0.129986137565956,39.8691628133439,0.295981879589189,0.153254992850106
0,0.55,1.45490646270523,0.561892257603491,0.0523887560532532,15.5798851309828,0.23740272260083,0.10869348108376
0.1,0.55,1.52221005748126,0.579797757848839,0.0702942562986008,20.9265805732808,0.244483071855497,0.123499575713556
0.2,0.55,1.5305391571693,0.601493692321411,0.0919901907711735,21.5882563647256,0.249724681328656,0.130538691346733
0.3,0.55,1.5467088624233,0.58252721555618,0.073023714005942,22.8728012641852,0.255998884090798,0.133082465195239
0.4,0.55,1.67051892647563,0.627472380555892,0.117968879005654,32.708452797838,0.282230003149684,0.134416002859917
0.5,0.55,1.72258211783271,0.638574856190391,0.129071354640154,36.844428429849,0.283608293534713,0.147400442029448
0.6,0.55,1.77952567523498,0.66624023759639,0.156736736046153,41.3681074375467,0.302822261321378,0.141575386687396
0.7,0.55,1.81285958743572,0.665885641919807,0.156382140369569,44.0162018971481,0.309100731213545,0.153775727744533
0.8,0.55,1.8704799623959,0.693401130069853,0.183897628519615,48.5936482758786,0.319764804037721,0.161733194297961
