"model","sweep_type","sweep_val","oracle_h2","extrap_h2","bias","bias_pp","se_pp","lo95_pp","hi95_pp"
"sr","negative_rho",0.65,0.565845392032348,0.699762421646659,0.133917029614311,13.3917029614311,0.473844281131405,12.3999354829793,14.3834704398829
"sr","negative_rho",0.7,0.565845392032348,0.6997742372084,0.133928845176052,13.3928845176052,0.359002791064432,12.6414830403076,14.1442859949027
"sr","negative_rho",0.75,0.565845392032348,0.703814503036609,0.13796911100426,13.796911100426,0.412564589000317,12.9334034916513,14.6604187092008
"sr","negative_rho",0.8,0.565845392032348,0.715170977141699,0.14932558510935,14.932558510935,0.34618212615765,14.2079909936809,15.6571260281892
"mgg","pleiotropy_isolation",0,0.491505852411818,0.504399788974603,0.0128939365627847,1.28939365627847,0.552744711464686,0.132485679235899,2.44630163332104
"sr","pleiotropy_isolation",0,0.565845392032348,0.634053201948994,0.0682078099166459,6.82078099166459,0.424914278682112,5.93142518532137,7.7101367980078
"mgg","dose_response",0,0.491505852411818,0.491505852411818,0,0,0,0,0
"mgg","dose_response",5e-05,0.491505852411818,0.471568178904643,-0.0199376735071753,-1.99376735071753,0.324182599229209,-2.67228932892487,-1.31524537251019
"mgg","dose_response",1e-04,0.491505852411818,0.472654273774051,-0.0188515786377677,-1.88515786377677,0.40424140318426,-2.7312448444292,-1.03907088312435
"mgg","dose_response",3e-04,0.491505852411818,0.474946029643332,-0.0165598227684868,-1.65598227684868,0.35501985677328,-2.39904737686775,-0.912917176829613
"mgg","dose_response",5e-04,0.491505852411818,0.481411463572591,-0.0100943888392277,-1.00943888392277,0.303397255201585,-1.64445663710114,-0.374421130744392
"mgg","dose_response",8e-04,0.491505852411818,0.492676176996183,0.00117032458436518,0.117032458436518,0.234872032821063,-0.374560355965744,0.608625272838779
"mgg","dose_response",0.001,0.491505852411818,0.492385201961474,0.0008793495496558,0.08793495496558,0.246918989094708,-0.428872428699827,0.604742338630987
"mgg","dose_response",0.0015,0.491505852411818,0.493257622721929,0.0017517703101106,0.17517703101106,0.264785626124267,-0.379025653728597,0.729379715750717
"mgg","dose_response",0.002,0.491505852411818,0.525429828009292,0.0339239755974736,3.39239755974736,0.358276491734218,2.64251624441862,4.14227887507609
"mgg","dose_response",0.003,0.491505852411818,0.555255409387493,0.0637495569756749,6.37495569756749,0.335202947886453,5.67336786453257,7.07654353060241
"mgg","dose_response",0.004,0.491505852411818,0.576418141139623,0.0849122887278049,8.49122887278049,0.420288065228394,7.61155584247673,9.37090190308425
"mgg","dose_response",0.005,0.491505852411818,0.59347463653004,0.101968784118221,10.1968784118221,0.486941415998126,9.17769831505041,11.2160585085938
"mgg","dose_response",0.006,0.491505852411818,0.64196825131524,0.150462398903422,15.0462398903422,0.606251804604969,13.7773402802755,16.3151395004088
"mgg","dose_response",0.008,0.491505852411818,0.795614571639068,0.30410871922725,30.410871922725,1.09446068440406,28.1201393836631,32.7016044617868
"mgg","dose_response",0.012,0.491505852411818,1.02820801639717,0.536702163985349,53.6702163985349,0.358222132862763,52.9204488576317,54.4199839394381
"sr","dose_response",0,0.565845392032348,0.565845392032348,0,0,0,0,0
"sr","dose_response",5e-05,0.565845392032348,0.580355373083275,0.0145099810509269,1.45099810509269,0.318729457404727,0.783889683896091,2.1181065262893
"sr","dose_response",1e-04,0.565845392032348,0.580461112013448,0.0146157199810998,1.46157199810998,0.313778301984917,0.804826464304154,2.11831753191581
"sr","dose_response",3e-04,0.565845392032348,0.58294420975779,0.0170988177254417,1.70988177254417,0.270909941544467,1.14286074831325,2.27690279677509
"sr","dose_response",5e-04,0.565845392032348,0.59257231634416,0.0267269243118124,2.67269243118124,0.197244768323457,2.25985438647405,3.08553047588843
"sr","dose_response",8e-04,0.565845392032348,0.594821841049653,0.0289764490173048,2.89764490173048,0.283379632277375,2.30452451484456,3.49076528861641
"sr","dose_response",0.001,0.565845392032348,0.596219251414346,0.0303738593819977,3.03738593819977,0.210964401750655,2.5958323707118,3.47893950568775
"sr","dose_response",0.0015,0.565845392032348,0.614097201035327,0.0482518090029794,4.82518090029794,0.320946151951535,4.15343288409359,5.49692891650228
"sr","dose_response",0.002,0.565845392032348,0.620243612667174,0.0543982206348258,5.43982206348258,0.410098354460273,4.58147634292396,6.2981677840412
"sr","dose_response",0.003,0.565845392032348,0.647083026167871,0.0812376341355225,8.12376341355225,0.247344570589919,7.60606527758026,8.64146154952424
"sr","dose_response",0.004,0.565845392032348,0.667723246308815,0.101877854276467,10.1877854276467,0.296685357677535,9.5668158374369,10.8087550178565
"sr","dose_response",0.005,0.565845392032348,0.699045045022761,0.133199652990413,13.3199652990413,0.30823969311546,12.6748122068272,13.9651183912554
"sr","dose_response",0.006,0.565845392032348,0.729247269594726,0.163401877562378,16.3401877562378,0.430222097947806,15.439722556495,17.2406529559805
"sr","dose_response",0.008,0.565845392032348,0.792775044231008,0.22692965219866,22.692965219866,0.617156740222997,21.401241317239,23.9846891224929
"sr","dose_response",0.012,0.565845392032348,0.952386009794465,0.386540617762117,38.6540617762117,0.933873578833047,36.6994419119377,40.6086816404856
